Latitud,Longitud,Rain,Station,Day,Month,year,cum_rain
16.23194,-93.90444,4.06,Arriaga,2,8,2018,4.06
16.23194,-93.90444,0,Arriaga,3,8,2018,0
16.23194,-93.90444,11.18,Arriaga,4,8,2018,11.18
16.23194,-93.90444,2.79,Arriaga,5,8,2018,2.79
16.23194,-93.90444,0,Arriaga,6,8,2018,0
16.23194,-93.90444,0,Arriaga,7,8,2018,0
16.23194,-93.90444,17.27,Arriaga,8,8,2018,17.27
16.23194,-93.90444,37.34,Arriaga,9,8,2018,37.34
16.23194,-93.90444,35.81,Arriaga,10,8,2018,35.81
16.23194,-93.90444,0.76,Arriaga,11,8,2018,0.76
16.23194,-93.90444,0.25,Arriaga,12,8,2018,0.25
16.23194,-93.90444,4.83,Arriaga,13,8,2018,4.83
16.23194,-93.90444,0,Arriaga,14,8,2018,0
16.23194,-93.90444,0,Arriaga,15,8,2018,0
16.23194,-93.90444,2.54,Arriaga,16,8,2018,2.54
16.23194,-93.90444,5.59,Arriaga,17,8,2018,5.59
16.23194,-93.90444,0.25,Arriaga,18,8,2018,0.25
16.23194,-93.90444,0,Arriaga,19,8,2018,0
16.23194,-93.90444,5.84,Arriaga,20,8,2018,5.84
16.23194,-93.90444,0,Arriaga,21,8,2018,0
16.23194,-93.90444,0,Arriaga,22,8,2018,0
16.23194,-93.90444,1.52,Arriaga,23,8,2018,1.52
16.23194,-93.90444,1.52,Arriaga,24,8,2018,1.52
16.23194,-93.90444,9.65,Arriaga,25,8,2018,9.65
16.23194,-93.90444,1.27,Arriaga,26,8,2018,1.27
16.23194,-93.90444,0,Arriaga,27,8,2018,0
16.23194,-93.90444,0,Arriaga,28,8,2018,0
16.23194,-93.90444,6.1,Arriaga,29,8,2018,6.1
16.23194,-93.90444,18.03,Arriaga,30,8,2018,18.03
16.23194,-93.90444,0.25,Arriaga,31,8,2018,0.25
16.23194,-93.90444,5.84,Arriaga,1,10,2018,5.84
16.23194,-93.90444,1.52,Arriaga,2,10,2018,1.52
16.23194,-93.90444,0,Arriaga,3,10,2018,0
16.23194,-93.90444,0.51,Arriaga,4,10,2018,0.51
16.23194,-93.90444,0,Arriaga,5,10,2018,0
16.23194,-93.90444,0,Arriaga,6,10,2018,0
16.23194,-93.90444,0,Arriaga,7,10,2018,0
16.23194,-93.90444,0,Arriaga,8,10,2018,0
16.23194,-93.90444,4.06,Arriaga,9,10,2018,4.06
16.23194,-93.90444,0,Arriaga,10,10,2018,0
16.23194,-93.90444,3.05,Arriaga,11,10,2018,3.05
16.23194,-93.90444,3.05,Arriaga,12,10,2018,3.05
16.23194,-93.90444,0,Arriaga,13,10,2018,0
16.23194,-93.90444,0,Arriaga,14,10,2018,0
16.23194,-93.90444,0,Arriaga,15,10,2018,0
16.23194,-93.90444,0,Arriaga,16,10,2018,0
16.23194,-93.90444,0,Arriaga,17,10,2018,0
