"Latitud","Longitud","Rain","Station","Day","Month","year","cum_rain"
16.23194,-93.90444,0,"Arriaga",1,8,2019,0
16.23194,-93.90444,0,"Arriaga",2,8,2019,0
16.23194,-93.90444,6.86,"Arriaga",3,8,2019,6.86
16.23194,-93.90444,46.99,"Arriaga",4,8,2019,62.23
16.23194,-93.90444,0.76,"Arriaga",5,8,2019,0.76
16.23194,-93.90444,0.25,"Arriaga",6,8,2019,0.25
16.23194,-93.90444,0,"Arriaga",7,8,2019,0
16.23194,-93.90444,10.16,"Arriaga",8,8,2019,21.08
16.23194,-93.90444,9.65,"Arriaga",9,8,2019,11.68
16.23194,-93.90444,0.25,"Arriaga",10,8,2019,0.25
16.23194,-93.90444,0.25,"Arriaga",11,8,2019,0.25
16.23194,-93.90444,10.41,"Arriaga",12,8,2019,12.95
16.23194,-93.90444,0,"Arriaga",13,8,2019,0
16.23194,-93.90444,1.78,"Arriaga",14,8,2019,1.78
16.23194,-93.90444,2.79,"Arriaga",15,8,2019,3.04
16.23194,-93.90444,1.52,"Arriaga",16,8,2019,2.54
16.23194,-93.90444,6.86,"Arriaga",17,8,2019,13.21
16.23194,-93.90444,14.48,"Arriaga",18,8,2019,22.61
16.23194,-93.90444,16.51,"Arriaga",19,8,2019,17.26
16.23194,-93.90444,5.08,"Arriaga",20,8,2019,8.89
16.23194,-93.90444,1.02,"Arriaga",21,8,2019,1.52
16.23194,-93.90444,1.02,"Arriaga",22,8,2019,1.78
16.23194,-93.90444,3.3,"Arriaga",23,8,2019,3.3
16.23194,-93.90444,0,"Arriaga",24,8,2019,0
16.23194,-93.90444,0,"Arriaga",25,8,2019,0
16.23194,-93.90444,23.11,"Arriaga",26,8,2019,23.11
16.23194,-93.90444,0,"Arriaga",27,8,2019,0
16.23194,-93.90444,0,"Arriaga",28,8,2019,0
16.23194,-93.90444,9.4,"Arriaga",29,8,2019,9.4
16.23194,-93.90444,0,"Arriaga",30,8,2019,0
16.23194,-93.90444,0,"Arriaga",31,8,2019,0
16.23194,-93.90444,0,"Arriaga",1,10,2019,0
16.23194,-93.90444,0,"Arriaga",2,10,2019,0
16.23194,-93.90444,0,"Arriaga",3,10,2019,0
16.23194,-93.90444,0,"Arriaga",4,10,2019,0
16.23194,-93.90444,0,"Arriaga",5,10,2019,0
16.23194,-93.90444,0,"Arriaga",6,10,2019,0
16.23194,-93.90444,2.79,"Arriaga",7,10,2019,2.79
16.23194,-93.90444,0,"Arriaga",8,10,2019,0
16.23194,-93.90444,0,"Arriaga",9,10,2019,0
16.23194,-93.90444,23.88,"Arriaga",10,10,2019,23.88
16.23194,-93.90444,5.84,"Arriaga",11,10,2019,5.84
16.23194,-93.90444,13.21,"Arriaga",12,10,2019,13.21
16.23194,-93.90444,0.51,"Arriaga",13,10,2019,0.51
16.23194,-93.90444,0.25,"Arriaga",14,10,2019,0.25
16.23194,-93.90444,0,"Arriaga",15,10,2019,0
16.23194,-93.90444,0.25,"Arriaga",16,10,2019,0.25
16.23194,-93.90444,2.54,"Arriaga",17,10,2019,2.54
16.23194,-93.90444,0.51,"Arriaga",18,10,2019,0.51
16.23194,-93.90444,0,"Arriaga",19,10,2019,0
16.23194,-93.90444,0,"Arriaga",20,10,2019,0
16.23194,-93.90444,0,"Arriaga",21,10,2019,0
16.23194,-93.90444,0,"Arriaga",22,10,2019,0
16.23194,-93.90444,0,"Arriaga",23,10,2019,0
16.23194,-93.90444,0,"Arriaga",24,10,2019,0
16.23194,-93.90444,0,"Arriaga",25,10,2019,0
16.23194,-93.90444,0,"Arriaga",26,10,2019,0
16.23194,-93.90444,0,"Arriaga",27,10,2019,0
16.23194,-93.90444,0,"Arriaga",28,10,2019,0
16.23194,-93.90444,0,"Arriaga",29,10,2019,0
16.23194,-93.90444,0,"Arriaga",30,10,2019,0
16.23194,-93.90444,0,"Arriaga",31,10,2019,0
16.23194,-92.135,14.8,"Comitan",1,6,2019,228
16.23194,-92.135,8.8,"Comitan",2,6,2019,8.8
16.23194,-92.135,15.6,"Comitan",3,6,2019,15.6
16.23194,-92.135,48.4,"Comitan",4,6,2019,516
16.23194,-92.135,21.4,"Comitan",5,6,2019,21.4
16.23194,-92.135,0.6,"Comitan",6,6,2019,0.6
16.23194,-92.135,9.6,"Comitan",7,6,2019,9.6
16.23194,-92.135,9.4,"Comitan",8,6,2019,119.8
16.23194,-92.135,0.4,"Comitan",9,6,2019,0.4
16.23194,-92.135,6.6,"Comitan",10,6,2019,107
16.23194,-92.135,6.6,"Comitan",11,6,2019,6.6
16.23194,-92.135,0,"Comitan",12,6,2019,0
16.23194,-92.135,17,"Comitan",13,6,2019,17
16.23194,-92.135,54.2,"Comitan",14,6,2019,2665.8
16.23194,-92.135,37.6,"Comitan",15,6,2019,112.4
16.23194,-92.135,8,"Comitan",16,6,2019,98
16.23194,-92.135,7.4,"Comitan",17,6,2019,7.4
16.23194,-92.135,0,"Comitan",18,6,2019,0
16.23194,-92.135,0,"Comitan",19,6,2019,0
16.23194,-92.135,0,"Comitan",20,6,2019,0
16.23194,-92.135,0,"Comitan",21,6,2019,0
16.23194,-92.135,0.6,"Comitan",22,6,2019,0.6
16.23194,-92.135,2.2,"Comitan",23,6,2019,21.8
16.23194,-92.135,1.6,"Comitan",24,6,2019,1.6
16.23194,-92.135,0,"Comitan",25,6,2019,0
16.23194,-92.135,0,"Comitan",26,6,2019,0
16.23194,-92.135,2.2,"Comitan",27,6,2019,39.8
16.23194,-92.135,2.2,"Comitan",28,6,2019,2.2
16.23194,-92.135,0,"Comitan",29,6,2019,0
16.23194,-92.135,0.2,"Comitan",30,6,2019,0.2
16.23194,-92.135,72.2,"Comitan",1,9,2019,497.4
16.23194,-92.135,6.8,"Comitan",2,9,2019,560.4
16.23194,-92.135,23.4,"Comitan",3,9,2019,807.4
16.23194,-92.135,22.6,"Comitan",4,9,2019,22.6
16.23194,-92.135,0,"Comitan",5,9,2019,0
16.23194,-92.135,0,"Comitan",6,9,2019,0
16.23194,-92.135,0,"Comitan",7,9,2019,0
16.23194,-92.135,1.2,"Comitan",8,9,2019,34
16.23194,-92.135,6,"Comitan",9,9,2019,163.6
16.23194,-92.135,6,"Comitan",10,9,2019,6
16.23194,-92.135,0.2,"Comitan",11,9,2019,0.2
16.23194,-92.135,0.2,"Comitan",12,9,2019,0.2
16.23194,-92.135,13.2,"Comitan",13,9,2019,159.6
16.23194,-92.135,23.8,"Comitan",14,9,2019,5649.4
16.23194,-92.135,10.4,"Comitan",15,9,2019,10.4
16.23194,-92.135,3,"Comitan",16,9,2019,78.6
16.23194,-92.135,4,"Comitan",17,9,2019,157.2
16.23194,-92.135,1.6,"Comitan",18,9,2019,1.6
16.23194,-92.135,0,"Comitan",19,9,2019,0
16.23194,-92.135,5.2,"Comitan",20,9,2019,36.8
16.23194,-92.135,5.2,"Comitan",21,9,2019,5.2
16.23194,-92.135,0.2,"Comitan",22,9,2019,0.2
16.23194,-92.135,22,"Comitan",23,9,2019,1001.6
16.23194,-92.135,60.4,"Comitan",24,9,2019,2241.2
16.23194,-92.135,42,"Comitan",25,9,2019,42
16.23194,-92.135,4.4,"Comitan",26,9,2019,320
16.23194,-92.135,7.4,"Comitan",27,9,2019,775.8
16.23194,-92.135,11.2,"Comitan",28,9,2019,174.4
16.23194,-92.135,16.4,"Comitan",29,9,2019,3658.8
16.23194,-92.135,16.4,"Comitan",30,9,2019,16.4
16.23194,-93.90444,0,"Comitan",1,7,2019,0
16.23194,-93.90444,0,"Comitan",2,7,2019,0
16.23194,-93.90444,0,"Comitan",3,7,2019,0
16.23194,-93.90444,0,"Comitan",4,7,2019,0
16.23194,-93.90444,0,"Comitan",5,7,2019,0
16.23194,-93.90444,0,"Comitan",6,7,2019,0
16.23194,-93.90444,0,"Comitan",7,7,2019,0
16.23194,-93.90444,0,"Comitan",8,7,2019,0
16.23194,-93.90444,0,"Comitan",9,7,2019,0
16.23194,-93.90444,0,"Comitan",10,7,2019,0
16.23194,-93.90444,0,"Comitan",11,7,2019,0
16.23194,-93.90444,0,"Comitan",12,7,2019,0
16.23194,-93.90444,0,"Comitan",13,7,2019,0
16.23194,-93.90444,0,"Comitan",14,7,2019,0
16.23194,-93.90444,0,"Comitan",15,7,2019,0
16.23194,-93.90444,0,"Comitan",16,7,2019,0
16.23194,-93.90444,0,"Comitan",17,7,2019,0
16.23194,-93.90444,0,"Comitan",18,7,2019,0
16.23194,-93.90444,0,"Comitan",19,7,2019,0
16.23194,-93.90444,0,"Comitan",20,7,2019,0
16.23194,-93.90444,0,"Comitan",21,7,2019,0
16.23194,-93.90444,0,"Comitan",22,7,2019,0
16.23194,-93.90444,0,"Comitan",23,7,2019,0
16.23194,-93.90444,0,"Comitan",24,7,2019,0
16.23194,-93.90444,0,"Comitan",25,7,2019,0
16.23194,-93.90444,0,"Comitan",26,7,2019,0
16.23194,-93.90444,0,"Comitan",27,7,2019,0
16.23194,-93.90444,0,"Comitan",28,7,2019,0
16.23194,-93.90444,0,"Comitan",29,7,2019,0
16.23194,-93.90444,0,"Comitan",30,7,2019,0
16.23194,-93.90444,0,"Comitan",31,7,2019,0
16.23194,-92.135,0,"Comitan",1,8,2019,0
16.23194,-92.135,32,"Comitan",2,8,2019,498.8
16.23194,-92.135,32.2,"Comitan",3,8,2019,4384.2
16.23194,-92.135,0.8,"Comitan",4,8,2019,19.2
16.23194,-92.135,0.6,"Comitan",5,8,2019,0.6
16.23194,-92.135,0,"Comitan",6,8,2019,0
16.23194,-92.135,0,"Comitan",7,8,2019,0
16.23194,-92.135,2.8,"Comitan",8,8,2019,72.8
16.23194,-92.135,19,"Comitan",9,8,2019,4114.6
16.23194,-92.135,20.2,"Comitan",10,8,2019,698.2
16.23194,-92.135,0.6,"Comitan",11,8,2019,0.6
16.23194,-92.135,0,"Comitan",12,8,2019,0
16.23194,-92.135,0,"Comitan",13,8,2019,0
16.23194,-92.135,0,"Comitan",14,8,2019,0
16.23194,-92.135,0,"Comitan",15,8,2019,0
16.23194,-92.135,0,"Comitan",16,8,2019,0
16.23194,-92.135,0,"Comitan",17,8,2019,0
16.23194,-92.135,7.2,"Comitan",18,8,2019,235.2
16.23194,-92.135,16,"Comitan",19,8,2019,2063.2
16.23194,-92.135,17.2,"Comitan",20,8,2019,532.4
