"Latitud","Longitud","Rain","Station","Day","Month","year","cum_rain"
16.23194,-93.90444,0,"Arriaga",1,6,2020,0
16.23194,-93.90444,0,"Arriaga",2,6,2020,0
16.23194,-93.90444,0,"Arriaga",3,6,2020,0
16.23194,-93.90444,0,"Arriaga",4,6,2020,0
16.23194,-93.90444,0,"Arriaga",5,6,2020,0
16.23194,-93.90444,0,"Arriaga",6,6,2020,0
16.23194,-93.90444,0,"Arriaga",7,6,2020,0
16.23194,-93.90444,0,"Arriaga",8,6,2020,0
16.23194,-93.90444,0,"Arriaga",9,6,2020,0
16.23194,-93.90444,0,"Arriaga",10,6,2020,0
16.23194,-93.90444,0,"Arriaga",11,6,2020,0
16.23194,-93.90444,0,"Arriaga",12,6,2020,0
16.23194,-93.90444,0,"Arriaga",13,6,2020,0
16.23194,-93.90444,0,"Arriaga",14,6,2020,0
16.23194,-93.90444,0,"Arriaga",15,6,2020,0
16.23194,-93.90444,0,"Arriaga",16,6,2020,0
16.23194,-93.90444,0,"Arriaga",17,6,2020,0
16.23194,-93.90444,0,"Arriaga",18,6,2020,0
16.23194,-93.90444,0.25,"Arriaga",19,6,2020,0.25
16.23194,-93.90444,0,"Arriaga",20,6,2020,0
16.23194,-93.90444,0,"Arriaga",21,6,2020,0
16.23194,-93.90444,0,"Arriaga",22,6,2020,0
16.23194,-93.90444,0,"Arriaga",23,6,2020,0
16.23194,-93.90444,0,"Arriaga",24,6,2020,0
16.23194,-93.90444,0,"Arriaga",25,6,2020,0
16.23194,-93.90444,0,"Arriaga",26,6,2020,0
16.23194,-93.90444,0,"Arriaga",27,6,2020,0
16.23194,-93.90444,0,"Arriaga",28,6,2020,0
16.23194,-93.90444,0,"Arriaga",29,6,2020,0
16.23194,-93.90444,0,"Arriaga",30,6,2020,0
16.23194,-93.90444,0,"Arriaga",1,9,2020,0
16.23194,-93.90444,0,"Arriaga",2,9,2020,0
16.23194,-93.90444,0,"Arriaga",3,9,2020,0
16.23194,-93.90444,0.51,"Arriaga",4,9,2020,0.51
16.23194,-93.90444,0,"Arriaga",5,9,2020,0
16.23194,-93.90444,0,"Arriaga",6,9,2020,0
16.23194,-93.90444,0,"Arriaga",7,9,2020,0
16.23194,-93.90444,0,"Arriaga",8,9,2020,0
16.23194,-93.90444,0,"Arriaga",9,9,2020,0
16.23194,-93.90444,0,"Arriaga",10,9,2020,0
16.23194,-93.90444,0,"Arriaga",11,9,2020,0
16.23194,-93.90444,0,"Arriaga",12,9,2020,0
16.23194,-93.90444,0,"Arriaga",13,9,2020,0
16.23194,-93.90444,0.51,"Arriaga",14,9,2020,0.51
16.23194,-93.90444,0,"Arriaga",15,9,2020,0
16.23194,-93.90444,0,"Arriaga",16,9,2020,0
16.23194,-93.90444,0,"Arriaga",17,9,2020,0
16.23194,-93.90444,0,"Arriaga",18,9,2020,0
16.23194,-93.90444,0,"Arriaga",19,9,2020,0
16.23194,-93.90444,0,"Arriaga",20,9,2020,0
16.23194,-93.90444,0,"Arriaga",21,9,2020,0
16.23194,-93.90444,0,"Arriaga",22,9,2020,0
16.23194,-93.90444,0,"Arriaga",23,9,2020,0
16.23194,-93.90444,0,"Arriaga",24,9,2020,0
16.23194,-93.90444,0,"Arriaga",25,9,2020,0
16.23194,-93.90444,0,"Arriaga",26,9,2020,0
16.23194,-93.90444,0,"Arriaga",27,9,2020,0
16.23194,-93.90444,0,"Arriaga",28,9,2020,0
16.23194,-93.90444,0,"Arriaga",29,9,2020,0
16.23194,-93.90444,0,"Arriaga",30,9,2020,0
16.23194,-93.90444,0,"Arriaga",1,7,2020,0
16.23194,-93.90444,0,"Arriaga",2,7,2020,0
16.23194,-93.90444,0,"Arriaga",3,7,2020,0
16.23194,-93.90444,0,"Arriaga",4,7,2020,0
16.23194,-93.90444,0,"Arriaga",5,7,2020,0
16.23194,-93.90444,0,"Arriaga",6,7,2020,0
16.23194,-93.90444,0,"Arriaga",7,7,2020,0
16.23194,-93.90444,0,"Arriaga",8,7,2020,0
16.23194,-93.90444,0,"Arriaga",9,7,2020,0
16.23194,-93.90444,0,"Arriaga",10,7,2020,0
16.23194,-93.90444,0,"Arriaga",11,7,2020,0
16.23194,-93.90444,0,"Arriaga",12,7,2020,0
16.23194,-93.90444,0,"Arriaga",13,7,2020,0
16.23194,-93.90444,0,"Arriaga",14,7,2020,0
16.23194,-93.90444,0,"Arriaga",15,7,2020,0
16.23194,-93.90444,0,"Arriaga",16,7,2020,0
16.23194,-93.90444,0,"Arriaga",17,7,2020,0
16.23194,-93.90444,0,"Arriaga",18,7,2020,0
16.23194,-93.90444,0,"Arriaga",19,7,2020,0
16.23194,-93.90444,0,"Arriaga",20,7,2020,0
16.23194,-93.90444,0,"Arriaga",21,7,2020,0
16.23194,-93.90444,0,"Arriaga",22,7,2020,0
16.23194,-93.90444,0,"Arriaga",23,7,2020,0
16.23194,-93.90444,0,"Arriaga",24,7,2020,0
16.23194,-93.90444,0,"Arriaga",25,7,2020,0
16.23194,-93.90444,0,"Arriaga",26,7,2020,0
16.23194,-93.90444,0,"Arriaga",27,7,2020,0
16.23194,-93.90444,0,"Arriaga",28,7,2020,0
16.23194,-93.90444,0,"Arriaga",29,7,2020,0
16.23194,-93.90444,0,"Arriaga",30,7,2020,0
16.23194,-93.90444,0,"Arriaga",31,7,2020,0
16.23194,-93.90444,0,"Arriaga",1,8,2020,0
16.23194,-93.90444,3.81,"Arriaga",2,8,2020,3.81
16.23194,-93.90444,5.08,"Arriaga",3,8,2020,5.08
16.23194,-93.90444,2.03,"Arriaga",4,8,2020,2.03
16.23194,-93.90444,7.62,"Arriaga",5,8,2020,7.62
16.23194,-93.90444,0.25,"Arriaga",6,8,2020,0.25
16.23194,-93.90444,3.81,"Arriaga",7,8,2020,3.81
16.23194,-93.90444,11.43,"Arriaga",8,8,2020,11.43
16.23194,-93.90444,2.29,"Arriaga",9,8,2020,2.29
16.23194,-93.90444,2.54,"Arriaga",10,8,2020,2.54
16.23194,-93.90444,0.51,"Arriaga",11,8,2020,0.51
16.23194,-93.90444,9.91,"Arriaga",12,8,2020,9.91
16.23194,-93.90444,0.51,"Arriaga",13,8,2020,0.51
16.23194,-93.90444,14.48,"Arriaga",14,8,2020,14.48
16.23194,-93.90444,10.41,"Arriaga",15,8,2020,10.41
16.23194,-93.90444,7.37,"Arriaga",16,8,2020,7.37
16.23194,-93.90444,3.3,"Arriaga",17,8,2020,3.3
16.23194,-93.90444,20.07,"Arriaga",18,8,2020,20.07
16.23194,-93.90444,0.25,"Arriaga",19,8,2020,0.25
16.23194,-93.90444,1.78,"Arriaga",20,8,2020,1.78
16.23194,-93.90444,16.26,"Arriaga",21,8,2020,16.26
16.23194,-93.90444,23.88,"Arriaga",22,8,2020,23.88
16.23194,-93.90444,37.34,"Arriaga",23,8,2020,37.34
16.23194,-93.90444,1.27,"Arriaga",24,8,2020,1.27
16.23194,-93.90444,0.76,"Arriaga",25,8,2020,0.76
16.23194,-93.90444,22.35,"Arriaga",26,8,2020,22.35
16.23194,-93.90444,0,"Arriaga",27,8,2020,0
16.23194,-93.90444,15.24,"Arriaga",28,8,2020,15.24
16.23194,-93.90444,22.86,"Arriaga",29,8,2020,22.86
16.23194,-93.90444,40.64,"Arriaga",30,8,2020,40.64
16.23194,-93.90444,16,"Arriaga",31,8,2020,16
16.23194,-93.90444,0,"Arriaga",1,10,2020,0
16.23194,-93.90444,0,"Arriaga",2,10,2020,0
16.23194,-93.90444,0,"Arriaga",3,10,2020,0
16.23194,-93.90444,0,"Arriaga",4,10,2020,0
16.23194,-93.90444,0,"Arriaga",5,10,2020,0
16.23194,-93.90444,0,"Arriaga",6,10,2020,0
16.23194,-93.90444,0,"Arriaga",7,10,2020,0
16.23194,-93.90444,0.25,"Arriaga",8,10,2020,0.25
16.23194,-93.90444,0,"Arriaga",9,10,2020,0
16.23194,-93.90444,0,"Arriaga",10,10,2020,0
16.23194,-93.90444,0,"Arriaga",11,10,2020,0
16.23194,-93.90444,0,"Arriaga",12,10,2020,0
16.23194,-93.90444,0,"Arriaga",13,10,2020,0
16.23194,-93.90444,0.25,"Arriaga",14,10,2020,0.25
16.23194,-93.90444,0,"Arriaga",15,10,2020,0
16.23194,-93.90444,0.51,"Arriaga",16,10,2020,0.76
16.23194,-93.90444,0,"Arriaga",17,10,2020,0
16.23194,-93.90444,0,"Arriaga",18,10,2020,0
16.23194,-93.90444,0,"Arriaga",19,10,2020,0
16.23194,-93.90444,0,"Arriaga",20,10,2020,0
16.23194,-93.90444,0,"Arriaga",21,10,2020,0
16.23194,-93.90444,0,"Arriaga",22,10,2020,0
16.23194,-93.90444,13.21,"Arriaga",23,10,2020,41.41
16.23194,-93.90444,0,"Arriaga",24,10,2020,0
16.23194,-93.90444,0,"Arriaga",25,10,2020,0
16.23194,-93.90444,0,"Arriaga",26,10,2020,0
16.23194,-93.90444,0,"Arriaga",27,10,2020,0
16.23194,-93.90444,0,"Arriaga",28,10,2020,0
16.23194,-93.90444,0,"Arriaga",29,10,2020,0
16.23194,-93.90444,0.25,"Arriaga",30,10,2020,0.25
16.23194,-93.90444,0,"Arriaga",31,10,2020,0
16.23194,-92.135,11.4,"Comitan",1,6,2020,374.2
16.23194,-92.135,18.2,"Comitan",2,6,2020,2777
16.23194,-92.135,49,"Comitan",3,6,2020,535.4
16.23194,-92.135,92.8,"Comitan",4,6,2020,13277.2
16.23194,-92.135,98.8,"Comitan",5,6,2020,295.6
16.23194,-92.135,29,"Comitan",6,6,2020,1352.6
16.23194,-92.135,12.2,"Comitan",7,6,2020,12.2
16.23194,-92.135,0,"Comitan",8,6,2020,0
16.23194,-92.135,0,"Comitan",9,6,2020,0
16.23194,-92.135,11.8,"Comitan",10,6,2020,325.4
16.23194,-92.135,12.2,"Comitan",11,6,2020,12.2
16.23194,-92.135,0.6,"Comitan",12,6,2020,0.6
16.23194,-92.135,7.4,"Comitan",13,6,2020,7.4
16.23194,-92.135,9,"Comitan",14,6,2020,225.8
